,SMILES,gap
404,OC1(CC1)C#C,0.2774
405,OC1(CC1)C#N,0.2964
406,CC1(CC1)C=O,0.2341
407,CC1(CN1)C=O,0.2249
408,CC1(CO1)C=O,0.2218
409,OC1(CC1)C=O,0.2204
410,CC1(CO)CC1,0.3373
411,CC1(CO)CN1,0.3186
412,CC1(CO)CO1,0.3421
413,CCC1(C)CC1,0.3486
414,CCC1(C)CO1,0.3465
415,CCC1(O)CC1,0.3242
416,COC1(C)CC1,0.3348
417,OCC1(O)CC1,0.306
418,CC1CCC1=O,0.2211
419,CC1CNC1=O,0.2825
420,CC1COC1=N,0.2899
421,CC1COC1=O,0.2825
422,CC1NCC1=O,0.2182
423,CC1OCC1=O,0.2252
424,CN1CCC1=O,0.2809
425,NC1COC1=N,0.2687
426,NC1COC1=O,0.2493
427,OC1CCC1=O,0.2226
428,OC1CNC1=O,0.2679
429,OC1COC1=N,0.284
430,OC1COC1=O,0.2616
431,CC1CCC1C,0.3663
432,CC1CCC1O,0.3274
433,CC1COC1C,0.3248
434,CC1OCC1O,0.3069
435,OC1CCC1O,0.3067
436,N=C1CN=CN1,0.2275
437,O=C1CC=CC1,0.2245
438,O=C1CC=CN1,0.2152
439,O=C1CN=CN1,0.2318
440,O=C1CN=CO1,0.2478
441,N=C1OCC=C1,0.216
442,O=C1CCC=C1,0.1938
443,O=C1NCC=C1,0.2166
444,N=C1CCCO1,0.2866
445,N=C1COCO1,0.2907
446,N=C1OCCO1,0.3105
447,O=C1CCCC1,0.2226
448,O=C1CCCN1,0.2747
449,O=C1CCCO1,0.2795
450,O=C1CCOC1,0.2186
451,O=C1COCO1,0.2772
452,O=C1NCCN1,0.3086
453,O=C1NCCO1,0.3152
454,O=C1OCCO1,0.3336
455,CC1=CCCC1,0.2608
456,CC1=CCOC1,0.2501
457,CC1=NCCO1,0.2718
458,CC1CC=CC1,0.2648
459,CC1CN=CO1,0.2721
460,OC1CC=CC1,0.267
461,CC1CCC=C1,0.2642
462,CC1COC=N1,0.2712
463,CC1OCC=C1,0.2484
464,OC1CCC=C1,0.2633
465,CC1CCCC1,0.3872
466,CC1CCCO1,0.3246
467,CC1CCOC1,0.322
468,CC1COCO1,0.3406
469,CC1OCCO1,0.3439
470,OC1CCCC1,0.3338
471,OC1CCOC1,0.314
472,CC1C(C)C1C,0.3412
473,CC1C(C)C1O,0.3165
474,CC1C(C)N1C,0.293
475,CC1C(O)C1O,0.2838
476,OC1C(O)C1O,0.3058
477,CC12CC1CC2,0.338
478,CC12CC1CO2,0.3155
479,CC12CC1OC2,0.3098
480,CC12CCC1O2,0.3397
481,OC12CC1CC2,0.3309
482,OC12CC1OC2,0.3024
483,C#CC#CC#C,0.19
484,C#CC#CC#N,0.199
485,N#CC#CC#N,0.2113
486,C#CCCC#C,0.3006
487,C#CCCC#N,0.3014
488,N#CCCC#N,0.3384
489,O=CC#CC#C,0.1828
490,O=CC#CC#N,0.1843
491,O=CC#CC=O,0.1966
492,N=COCC#C,0.2834
493,N=COCC#N,0.2828
494,O=CCCC#C,0.2247
495,O=CCCC#N,0.2276
496,O=CNCC#C,0.2752
497,O=CNCC#N,0.2772
498,O=COCC#C,0.2768
499,O=COCC#N,0.2797
500,N=COCC=O,0.2165
501,O=CCCC=O,0.2193
502,O=CCNC=O,0.2203
503,O=CCOC=O,0.226
504,CC#CC#CC,0.2291
505,CC#CCC#C,0.2901
506,CC#CCC#N,0.2899
507,CC#CCC=O,0.2194
508,CN=CNC=O,0.2236
509,CN=COC=O,0.2532
510,CCC#CC#C,0.2313
511,CCC#CC#N,0.2468
512,OCC#CC#C,0.2202
513,OCC#CC#N,0.2323
514,CCC#CC=O,0.2053
515,OCC#CC=O,0.2057
516,CCC#CCC,0.2979
517,CCC#CCO,0.279
518,OCC#CCO,0.2807
519,CCN=COC,0.2729
520,CC#CCCO,0.305
521,CCCC#CC,0.3043
522,COCC#CC,0.2837
523,CCOC=NC,0.2729
524,CCCCC#C,0.3166
525,CCCCC#N,0.354
526,CCNCC#N,0.2706
527,CCOCC#C,0.2893
528,CCOCC#N,0.2934
529,COCCC#C,0.3131
530,COCCC#N,0.3075
531,OCCCC#C,0.3158
532,OCCCC#N,0.3174
533,CCCCC=O,0.2292
534,CCCNC=O,0.2832
535,CCCOC=O,0.2866
536,CCOCC=O,0.2294
537,COCCC=O,0.2285
538,OCCCC=O,0.2303
539,OCCNC=O,0.2828
540,OCCOC=N,0.2847
541,OCCOC=O,0.2843
542,CCCCCC,0.3957
543,CCCCCO,0.3427
544,CCCCOC,0.3409
545,CCCOCC,0.3409
546,CCOCCO,0.3431
547,COCCCO,0.3295
548,COCCOC,0.336
549,OCCCCO,0.3388
550,C#CC1CCC1,0.3045
551,C#CC1CCO1,0.274
552,C#CC1COC1,0.2907
553,N#CC1CCC1,0.3367
554,N#CC1CCN1,0.267
555,N#CC1CCO1,0.2783
556,N#CC1COC1,0.2867
557,O=CC1CCC1,0.2229
558,O=CC1CCO1,0.2129
559,O=CC1COC1,0.2215
560,O=CN1CCC1,0.2661
561,CN=C1CCO1,0.28
562,CCC1CCC1,0.3752
563,CCC1CCO1,0.3276
564,CCC1COC1,0.3194
565,COC1CCC1,0.3316
566,COC1COC1,0.3167
567,OCC1CCC1,0.3388
568,OCC1CCO1,0.3174
569,OCC1COC1,0.3118
570,C#CCC1CC1,0.314
571,C#CCC1CO1,0.3095
572,C#CCN1CC1,0.2771
573,N#CCC1CC1,0.3375
574,N#CCC1CN1,0.2878
575,N#CCC1CO1,0.3149
576,N#CCN1CC1,0.281
577,N=COC1CC1,0.2799
578,O=CCC1CC1,0.2258
579,O=CCC1CN1,0.2221
580,O=CCC1CO1,0.2249
581,O=CCN1CC1,0.2245
582,O=CNC1CC1,0.2757
583,O=COC1CC1,0.2785
584,CC#CC1CC1,0.2837
585,CC#CC1CN1,0.2698
586,CC#CC1CO1,0.276
587,CCCC1CC1,0.3661
588,CCCC1CO1,0.3582
589,CCCN1CC1,0.3227
590,CCOC1CC1,0.3376
591,COCC1CC1,0.3419
592,COCC1CN1,0.3228
593,COCC1CO1,0.3412
594,OCCC1CC1,0.3424
595,OCCC1CO1,0.343
596,OCCN1CC1,0.333
597,CC1CC1C#C,0.2907
598,CC1CC1C#N,0.3174
599,CC1NC1C#C,0.2832
600,CC1NC1C#N,0.2936
601,CC1OC1C#C,0.281
602,CC1OC1C#N,0.2951
603,CN1CC1C#C,0.2631
604,CN1CC1C#N,0.2692
605,OC1CC1C#C,0.2864
606,OC1CC1C#N,0.3029
607,CC1CC1C=O,0.2288
608,CC1CN1C=O,0.2544
609,CC1NC1C=O,0.222
610,CC1OC1C=O,0.2169
611,CN1CC1C=O,0.1969
612,OC1CC1C=O,0.2289
613,CC1CC1CO,0.3366
614,CC1NC1CO,0.3186
615,CC1OC1CO,0.3423
616,CCC1CC1C,0.357
617,CCC1CC1O,0.3338
618,CCC1CN1C,0.3065
619,CCC1OC1C,0.3538
620,CCN1CC1C,0.3128
621,CN1CC1CO,0.2927
622,COC1CC1C,0.3346
623,COC1CC1O,0.3028
624,OCC1CC1O,0.329
625,CC(=O)C1CC1,0.2339
626,CC(=O)C1CN1,0.2334
627,CC(=O)C1CO1,0.224
628,CC(=O)N1CC1,0.253
629,NC(=O)C1CC1,0.2784
630,NC(=O)C1CN1,0.2697
631,NC(=O)C1CO1,0.2627
632,NC(=O)N1CC1,0.2831
633,CC(C)C1CC1,0.3665
634,CC(C)C1CO1,0.3501
635,CC(C)N1CC1,0.3196
636,CC(O)C1CC1,0.3376
637,CC(O)C1CN1,0.2983
638,CC(O)C1CO1,0.351
639,C1CC11CCC1,0.3562
640,C1CC11CCO1,0.3051
641,C1CC11COC1,0.3106
642,C1NC11COC1,0.3037
643,C1OC11CCC1,0.3343
644,C1OC11COC1,0.3209
645,C1C2CC1C=C2,0.2404
646,C1C2OC1C=C2,0.2354
647,C1C2CC1CC2,0.3879
648,C1C2CC1OC2,0.3339
649,C1C2CCC1O2,0.335
650,CC1C2CC1C2,0.3939
651,CC1C2CC1O2,0.3232
652,OC1C2CC1C2,0.3278
653,OC1C2CC1O2,0.3019
654,C1CC=CCO1,0.2671
655,C1CCC=CC1,0.268
656,C1COC=NC1,0.2732
657,C1CCCCC1,0.3783
658,C1CCOCC1,0.3324
659,C1COCCO1,0.3304
660,C1COCOC1,0.3513
661,C1CC2CCC12,0.3476
662,C1CC2OCC12,0.3159
663,C1OC2COC12,0.3068
664,CC1C2CCC12,0.3413
665,CC1C2COC12,0.3148
666,OC1C2CCC12,0.3221
667,OC1C2COC12,0.2971
668,C1C2CC=CC12,0.2495
669,C1C2OC=NC12,0.2608
670,C1C=CC2NC12,0.247
671,C1C=CC2OC12,0.2477
672,C1C2CCCC12,0.3524
673,C1C2CCOC12,0.3186
674,C1C2COCC12,0.3407
675,C1C2OCOC12,0.3209
676,C1CC2OC2C1,0.3533
677,C1OCC2NC12,0.3149
678,C1OCC2OC12,0.3521
679,N=C1OC2CC12,0.2804
680,O=C1CC2CC12,0.2329
681,O=C1CC2CN12,0.2378
682,O=C1CC2NC12,0.2224
683,O=C1CC2OC12,0.2179
684,O=C1CN2CC12,0.225
685,O=C1NC2CC12,0.2561
686,O=C1OC2CC12,0.2794
687,CC1CC2CC12,0.3435
688,CC1CC2OC12,0.3397
689,CC1OC2CC12,0.3204
690,OC1CC2CC12,0.3269
691,OC1CC2NC12,0.3133
692,OC1CC2OC12,0.3294
693,OC1CN2CC12,0.2971
694,C1C2C3CC2C13,0.3958
695,C1C2C3CN2C13,0.324
696,C1C2C3OC2C13,0.3099
697,N1C2C3NC2C13,0.2876
698,N1C2C3OC2C13,0.2929
699,O1C2C3OC2C13,0.2942
700,C1CC1C1CC1,0.3399
701,C1CC1C1CO1,0.3534
702,C1CC1N1CC1,0.3114
703,C1NC1C1CN1,0.3032
704,C1NC1C1CO1,0.3238
705,C1OC1C1CO1,0.3373
706,C1C2C1C1CC21,0.2941
707,C1C2C1C1NC21,0.2857
708,C1C2C1C1OC21,0.2952
709,C1C2C1N1CC21,0.2917
710,N1C2C1C1NC21,0.2717
711,N1C2C1C1OC21,0.2785
712,O1C2C1C1OC21,0.2955
713,C1C2C3C1CN23,0.3294
714,C1C2C3CC1C23,0.3515
715,C1C2C3CC1N23,0.3314
716,C1C2C3CN1C23,0.3121
717,C1C2C3OC1C23,0.3137
718,C12C3C1C1C2C31,0.3092
719,C12C3C1N1C2C31,0.2821
720,C1=CN=NC=C1,0.1826
721,C1=CN=NN=C1,0.186
722,C1=NN=CN=N1,0.1355
723,C1=NN=NC=N1,0.1627
724,C1=NN=NN=C1,0.166
725,CC1=CC=NN1,0.2577
726,CC1=CC=NO1,0.2456
727,CC1=CN=NN1,0.2527
728,CC1=CN=NO1,0.2351
729,CC1=CNN=C1,0.2601
730,CC1=CNN=N1,0.2526
731,CC1=CON=C1,0.247
732,CC1=CON=N1,0.2326
733,CC1=NC=NN1,0.2675
734,CC1=NC=NO1,0.2639
735,CC1=NNC=C1,0.2689
736,CC1=NNC=N1,0.27
737,CC1=NNN=C1,0.2596
738,CC1=NNN=N1,0.264
739,CC1=NOC=C1,0.2566
740,CC1=NOC=N1,0.2687
741,CC1=NON=C1,0.26
742,CC1=NON=N1,0.25
743,CN1C=CC=N1,0.2625
744,CN1C=CN=N1,0.2591
745,CN1C=NC=N1,0.2716
746,CN1C=NN=C1,0.2659
747,CN1C=NN=N1,0.2678
748,CN1N=CC=N1,0.2577
749,CN1N=CN=N1,0.2662
750,CN1N=NN=N1,0.2723
751,N=C1NC=NO1,0.2287
752,N=C1NN=NN1,0.2045
753,N=C1OC=NO1,0.2413
754,N=C1ON=NO1,0.2189
755,NC1=CC=NN1,0.244
756,NC1=CC=NO1,0.2307
757,NC1=CN=NN1,0.236
758,NC1=CN=NO1,0.2167
759,NC1=CNN=C1,0.2257
760,NC1=CNN=N1,0.217
761,NC1=CON=C1,0.2138
762,NC1=CON=N1,0.1965
763,NC1=NC=NN1,0.255
764,NC1=NC=NO1,0.249
765,NC1=NNC=C1,0.2353
766,NC1=NNC=N1,0.2332
767,NC1=NNN=C1,0.2241
768,NC1=NNN=N1,0.2194
769,NC1=NOC=C1,0.2357
770,NC1=NOC=N1,0.2309
771,NC1=NON=C1,0.2173
772,NC1=NON=N1,0.2038
773,O=C1NC=NN1,0.2421
774,O=C1NC=NO1,0.2527
775,O=C1NN=NN1,0.2325
776,O=C1NN=NO1,0.2397
777,O=C1OC=NO1,0.2672
778,O=C1ON=NO1,0.2469
779,OC1=CC=NN1,0.258
780,OC1=CNN=C1,0.2369
781,OC1=CNN=N1,0.2284
782,OC1=NC=NN1,0.2703
783,OC1=NNC=C1,0.2478
784,OC1=NNC=N1,0.2475
785,OC1=NNN=C1,0.2377
786,OC1=NNN=N1,0.2378
787,OC1=NOC=C1,0.2518
788,OC1=NOC=N1,0.2469
789,OC1=NON=N1,0.2227
790,CC#CC(C)=NO,0.2034
791,CC(CC#C)=NO,0.2556
792,CC(CC#N)=NO,0.2536
793,CC(CC=O)=NO,0.2077
794,CC(CCO)=NO,0.2523
795,CCCC(C)=NO,0.256
796,COCC(C)=NO,0.2552
797,CC(=NO)C(C)=NO,0.1952
798,CC(=NO)C(N)=O,0.215
799,CC(C)C(C)=NO,0.2581
800,CC(O)C(C)=NO,0.255
801,CC1CC(C1)=NO,0.2496
802,CN1CC(C1)=NO,0.2255
803,ON=C1CC(O)C1,0.2488
804,ON=C(C#C)C#C,0.1816
805,CCC(=NO)C#C,0.2072
806,OCC(=NO)C#C,0.2056
807,CCC(CC)=NO,0.2545
808,CCC(CO)=NO,0.2553
809,CC1CCC1=NO,0.2499
810,CC1NCC1=NO,0.2331
811,CC1OCC1=NO,0.2454
812,ON=C1CCC1O,0.2483
813,ON=C1CC=CC1,0.2457
814,ON=C1CCC=C1,0.1929
815,ON=C1CNC=C1,0.1751
816,ON=C1CCCC1,0.2505
817,ON=C1CCOC1,0.2511
818,CC(=NO)C1CC1,0.2442
819,CC(=NO)C1CN1,0.2333
820,CC(=NO)C1CO1,0.2432
821,ON=C1CC2CC12,0.2464
822,ON=C1CC2NC12,0.2402
823,ON=C1CC2OC12,0.2485
824,ON=C1CN2CC12,0.2344
825,FC(F)(F)C#C,0.3188
826,FC(F)(F)C#N,0.3587
827,FC(F)(F)C=O,0.2243
828,NCC(F)(F)F,0.3268
829,OCC(F)(F)F,0.3488
830,CCC(F)(F)F,0.4465
831,CC1=CC(C)=CN1,0.2421
832,CC1=CC(C)=CO1,0.2359
833,CC1=CC(N)=CN1,0.2239
834,CC1=CC(N)=CO1,0.22
